reviews,food,price,place,service
I am a big fan of the desserts and coffee here.,1,0,0,0
If you are after something indulgent i am sure you will find something very filling and satisfying here,1,0,0,0
"Beware, the desserts are very over the top and sweet (but that is the fun of it).",1,0,0,0
"The savoury dishes I have tried, including the pizza and fries are OK but would more stick to the desserts.",1,0,0,0
"A small cafe far out in Wetherill Park, with indoor and outdoor seating, XS Espresso is a sleeping giant housing friendly staff and delicious food.",1,0,1,1
"XS has Breakfast, Lunch and Dinner menus ready and waiting!",1,0,0,0
We could not go past the amazing XS Shakes!,1,0,0,0
"They are famous and crazy overloaded with chocolate, ice cream, cookies and so much more!",1,0,0,0
The savoury food was well cooked and delivered on flavour.,1,0,0,0
"Highlights were the Chicken and Waffles, Pan Seared Atlantic Salmon and Nonna’s Seafood Pasta.",1,0,0,0
The sweet items are on another level!!,1,0,0,0
"We recommend the XS Stack, XS Ricotta Hotcake and Açai Bowls.",1,0,0,0
"The desserts were totally gorgeous, not overly sweet and very well balanced.",1,0,0,0
"Worth revisiting again and again, is only for their  overloaded shakes!",1,0,0,0
We ordered 2 acai bowls without honey and they were really yummy because I don't enjoy the banana overload that most acai bowls have.,1,0,0,0
Fruit was fresh also.,1,0,0,0
Food came out quick.,0,0,0,1
"However, the menu says they cost $12.50 each (eat-in) and we paid $14 each because they ""increased the price in their system.""",0,-1,0,0
Disappointing because they should change the price on their menu beforehand rather than have us wait in line and tell us when we reach the counter.,0,-1,0,0
We went on a Friday at 1.30pm not too busy and not hard to find parking.,0,0,1,0
I came here with high expectations.,0,0,0,0
"First of all, the decoration and atmosphere is cozy and nice.",0,0,1,0
Props to that.,0,0,0,0
"The service, not so much.",0,0,0,-1
How can you eat the dessert on top of a milkshake without a spoon?,0,0,0,-1
"I ordered the chocolate souffle shake (volcano?), and I regretted it after one sip.",-1,0,0,0
The souffle was already sickeningly sweet and adding to that with the nutella loaded shake just made it bad.,-1,0,0,0
I am disappointed.,0,0,0,0
Nothing special.,0,0,0,0
"I've been here a few times, although seems to be a local favourite.",0,0,0,0
"The ACAI bowl is very watery and WAY too sweet, go somewhere else if you are thinking of ordering this.",-1,0,0,0
"Other than that, the breakfast foods are nothing special, better to save your money and make it at home.",-1,0,0,0
"Their shakes are not that great either, even though they look amazing they just taste like milk.",-1,0,0,0
Overall this cafe is overrated and there's no WOW factor.,0,0,-1,0
We Had a terrible Experience Here.,0,0,0,0
It was Stuff Up After Stuff Up,0,0,0,0
XS Espresso is a funky cafe located at Wetherill Park and Parramatta.,0,0,0,0
Drinks need improvement.,-1,0,0,0
Fried chicken was nice.,1,0,0,0
"They serve breakfast until 4pm, monster shakes and a variety of desserts on the menu and in the window display cabinet.",0,0,0,0
The Wetherill Park cafe is small with seating inside and limited seating outside.,0,0,-1,0
"The days that I have gone past, it has been busy.",0,0,-1,0
You order and pay at the counter.,0,0,0,0
"Not ideal for parents with prams, high chairs are available.",0,0,-1,0
"We came for lunch and luckily being a Monday, we were quickly seated inside.",0,0,0,1
Some days you have to wait to be seated.,0,0,0,0
Staff seemed friendly.,0,0,0,1
We ordered to eat a Chicken and Waffle and Angry Bird Burger.,0,0,0,0
"To drink, we ordered an iced coffee and berry blast (cold pressed).",0,0,0,0
The food surprisingly came out first before the drinks.,0,0,0,-1
We did not have to wait too long for the food which is a good thing when you are dining with children.,0,0,0,1
It was a bit cramped with the high chair and I felt like we were seated too close to the next table as we could hear their conversation.,0,0,-1,0
The Chicken and waffle was something I've heard about but never tried yet intrigued to try.,0,0,0,0
"At first glance, I thought I ordered the wrong meal as I was expecting just chicken and waffle.",0,0,0,0
"There was a tower of salad, cream slaw and fried sweet potato strips on top of my fried buttermilk chicken and cinnamon waffle.",0,0,0,0
"It also came with cheese, maple bacon, and XS secret sauce.",0,0,0,0
It was well presented but was not sure where to start.,1,0,0,0
The slaw on its own was a bit too creamy for my liking.,-1,0,0,0
"When the salad was mixed properly together, it tasted nice as the fried sweet potato strips gave the salad some texture.",1,0,0,0
"The fried chicken was crispy, soft, juicy and tasty.",1,0,0,0
The maple bacon was crispy and was not bad.,1,0,0,0
The sauce was nice and spicy.,1,0,0,0
The cinnamon waffle was crispy and soft on the inside.,1,0,0,0
I think I prefer chicken and salad on its own and not with the waffles.,-1,0,0,0
"After a while, I was a bit over the sweet waffles.",-1,0,0,0
It was a nice combination at first.,1,0,0,0
"The Angry Bird burger came with fried buttermilk chicken, maple bacon, cheese, iceberg lettuce, tomato, jalapeno relish, and XS secret sauce.",0,0,0,0
It also came with a side of fries.,0,0,0,0
It tasted similar to the Chicken and Waffle.,0,0,0,0
The vegetables were fresh.,1,0,0,0
"The jalapeno relish was not very spicy, I like things spicy.",-1,0,0,0
The milk bun was soft.,1,0,0,0
The burger just messy to eat and there was way too much sauce.,-1,0,0,0
The burger was nice.,1,0,0,0
The fries was too salty.,-1,0,0,0
"The fries were cooked well, crispy on the outside and soft on the inside.",1,0,0,0
We had to tap off the salt on most pieces.,-1,0,0,0
The iced coffee looked yummy with the cream on top.,1,0,0,0
The white chocolate rim looked gross as there was a blob of chocolate on the side.,-1,0,0,0
It was disappointing.,0,0,0,0
It had no flavour.,-1,0,0,0
I only chose the cold pressed berry blast drink as the milkshakes would have been sickeningly sweet.,-1,0,0,0
The slice of orange on top was a turnoff.,-1,0,0,0
"It tasted nice with mixed berries, watermelon and orange.",1,0,0,0
I had to remove it as they either cut it early in the morning or the day before as the white part of the orange peel was shrivled up.,-1,0,0,0
Verdict: Come early for a seat or expect to wait.,0,0,0,-1
The fried buttermilk chicken was the standout part of our meals that we most enjoyed followed by the fries.,1,0,0,0
Came here especially to enjoy their freaky shake.,1,0,0,0
I came during brunch time on Saturday so they are pretty busy and I had to put my name in the waiting list.,0,0,0,-1
I ordered their original cronut shake.,0,0,0,0
The cronut shake is really good.,1,0,0,0
The shake itself is thick and full of flavour.,1,0,0,0
Sweet of course but not sickly sweet (what a relieve!).,1,0,0,0
The cronut is pretty good too.,1,0,0,0
The whole dessert looks epic and insta worthy.,1,0,0,0
"Not going to lie, went here solely to indulge in the original cronut shake so I can not comment on the proper brunch or savoury items.",0,0,0,0
"The cafe is quite lively and despite a lot of bad reviews on service, we didn't have much issues getting served.",0,0,1,1
"As for the shake, it is very rich and basically a sweetness overload.",1,0,0,0
"For remainder of the shake, I was not even halfway through it, and started to struggle.",-1,0,0,0
The cronut was yummy.,1,0,0,0
"Even for someone who has a major sweet tooth, it later it just became too sickening to even finish.",-1,0,0,0
The shake is pretty overrated for what it is.,-1,0,0,0
I recommend getting this instagramable shake as a one time cheat meal.,1,0,0,0
Recently came here because of all the hype surrounding the cafe.,0,0,0,0
Walked 15 minutes to reach the cafe to find the food was mediocre.,-1,0,0,0
We ordered three drinks one being warm ??,-1,0,0,0
Ordered another drink which was 15$ to have an average drink with kinder surprise and some fairy floss.,0,0,0,0
Honestly you could make the drink at home !!,-1,0,0,0
Personally the cafe was quite squishy.,0,0,1,0
Food here is not great.,-1,0,0,0
"Me and my friend ordered chicken nachos, chips with some sauce and Nutella pizza.",0,0,0,0
"Nachos were so dry, the sauce on the chips were cold and the chips weren’t hot at all, the Nutella pizza was okay just got sickening after eating too much.",-1,0,0,0
Acai bowl was quite delicious and actually satisfied my hungry brunch stomach more than I thought it would.,1,0,0,0
Came out super quick.,0,0,0,1
The salad was missing the halloumi (main reason why the dish was ordered) and replaced with potato gems.,-1,0,0,0
"When the waitress was advised about this, she stated that they had run out and proceeded to call the manager who never came.",0,0,0,-1
I personally would not pay that price for potato gems mixed through kale.,0,-1,0,0
The dish was also slow to come out.,0,0,0,-1
"Ambience: I have to say, the ambience was quite nice.",0,0,1,0
The ambience is nice enough for us to continue chatting away and totally forget about the halloumi ordeal.,0,0,1,0
So we got here and it was just starting to get busy.,0,0,0,-1
The music inside is quite loud so everyone is speaking louder which I found a little annoying.,0,0,-1,0
We ordered salad only.,0,0,0,0
We tried to order juice but they said they ran out.,0,0,0,0
We waited half an hour for the salad to come out.,0,0,0,-1
That is a long time.,0,0,0,-1
The place seemed disorganised.,0,0,-1,0
I saw some people behind the counter using gloves while others were snacking from the fruit bar.,0,0,0,-1
"Also some staff are coming out and hugging people, just looked so confusing.",0,0,0,-1
The desserts looked like they were coming out fast.,0,0,0,-1
Maybe order that if you decide to come.,0,0,0,0
My salad was the first one on their list.,0,0,0,0
"The corn chips tasted not nice, kinda too hard and there was quite a bit of raw onion that seemed to overpower everything else.",-1,0,0,0
Also they forgot to put dressing on my salad.,0,0,0,-1
My friend ordered the second one on the list.,0,0,0,0
They remembered dressing on his and it tasted much better.,1,0,0,0
I almost wanted to swap.,0,0,0,0
Anyway I did not enjoy the night at all and will not be back.,0,0,-1,0
That second salad was nice though so that's the positive.,1,0,0,0
Been here a few times and all times I have been disappointed with the food and service.,-1,0,0,-1
Interior and decoration is nice.,0,0,1,0
Not sure if I want to come back to try any other breakfast dishes .,-1,0,0,0
Ordered the Benedict and chose salmon.,0,0,0,0
The broccolini and spinach water soaked the bread and the result was a soggy bun.,-1,0,0,0
The coffee was great but I physically couldn't eat the burger / Benedict and gave it away.,1,0,0,0
I feel the Benedict is entirely a basic breakfast food and this really failed to live up to any expectations.,-1,0,0,0
The vibe was bustling but it was definitely a cafe where presentation meant more than food quality.,-1,0,1,0
Partner also had the Xs stack and his avocado was mostly a chunk and a little bit mashed ?,-1,0,0,0
Attention to detail was severely lacking .,-1,0,0,0
Recently I watched a YouTube video where the YouTuber said that Guylian Belgian drinks are better than Starbucks.,1,0,0,0
So I decided to try Guylian for the first time!,0,0,0,0
I ordered their chocolate shake.,0,0,0,0
"It was very sweet and tasty, however there wasn’t a wow factor.",1,0,0,0
I wish they had more of a drink selection.,-1,0,0,0
I feel like Starbucks has more of a selection so I would rather go to Starbucks than Guylian.....,-1,0,0,0
Coffees were good.,1,0,0,0
Hot chocolates were good.,1,0,0,0
Vanilla shake was good.,1,0,0,0
My napolean dessert was good.,1,0,0,0
There was however a very unfortunate smell that ruined much of the mood that seemed to come from the toilets which were right next door.,0,0,-1,0
"Service was friendly, but we were confused when we were served with empty cups and small steel pots with the hot beverages, i guess we werent used to it.",0,0,0,1
The dessert was quite tasty and I would probably have it again.,1,0,0,0
(7/10) Had an amazing Belgian chocolate milkshake that I could only hope for more of; went down in a matter of seconds!,1,0,0,0
"Would be great if it were just a dollar or two cheaper given this, and as good as the chocolate is, it is still no match for Lindt cafe shakes which are around the same price.",-1,0,-1,0
"Regardless, some quality milkshakes on offer.",1,0,0,0
The desserts unfortunately do not stand out to me.,-1,0,0,0
The desserts that are displayed on the front counter are quite pleasant.,1,0,0,0
"My favourite would be the white chocolate passion fruit one, but they all seem to have very similar textures and flavours.",1,0,0,0
"Me, a waffle fanatic, had to try out theirs.",0,0,0,0
To my surprise the star of the show here was the vanilla ice cream that came with it.,1,0,0,0
Never have I tried ice cream so creamy and rich with vanilla flavour.,1,0,0,0
The waffle lacked the soft fluffiness that I personally enjoy.,-1,0,0,0
The waffle itself was very crunchy in texture.,1,0,0,0
It was a nice experience but I probably would not come back if there were other dessert places around.,0,0,-1,0
Absolutely delicious desserts at Guylian Belgian Chocolate Cafe in Westfield Pitt Street Mall.,1,0,0,0
With many chocolate options on offer we went with the Iced Chocolate and the Belgian Waffles with Chocolate Drizzle and Vanilla Bean Ice Cream.,0,0,0,0
The Iced Chocolate was very similar tasting to what is on offer at Oliver Brown.,0,0,0,0
It was incredibly sweet but still very delicious.,1,0,0,0
The Belgian Waffles was a lightly toasted waffle served with milk chocolate and vanilla bean ice cream.,0,0,0,0
"The combination of the waffle, chocolate and ice cream instantly melted in your mouth.",1,0,0,0
The serving size was definitely enough for 2 people if you just want a bit of a taste.,1,0,0,0
I highly recommend the Guylian Belgian Chocolate Cafe at Westfield Pitt Street Mall if you are in the area.,0,0,1,0
Looking forward to trying some of their other options here and at other franchises.,0,0,0,0
There are not that many seats,0,0,-1,0
Ordered Guylian Creme Brulee Tart which was okay.,1,0,0,0
The chocolate was good and yummy and the hazelnut on top was good as well but for me it was an okay tart,1,0,0,0
"Guylian is well known for its chocolates, and over recent years Guylian cafes have been popping up in Australia serving up chocolate desserts and milkshakes and other delicious chocolatey goodness.",1,0,0,0
"We tried 3 different chocolate entrement cakes, a chocolate mousse cake, a black forest and a chocolate cheesecake.",0,0,0,0
The black forest was probably my favourite.,1,0,0,0
"The mousse cake was not bad, but it just was not anything spectacular.",-1,0,0,0
The chocolate cheesecake was extremely dense and way too rich for my liking.,-1,0,0,0
Honestly at $14 each the desserts were overpriced and underwhelming.,0,-1,0,0
There are definitely better desserts out there at more reasonable prices.,0,-1,0,0
Score is for the chai latte only.,1,0,0,0
"Sickly sweet, probably from a syrup.",-1,0,0,0
Also tried the apple crumble which was also too sweet.,-1,0,0,0
Very friendly service at the counter.,0,0,0,1
They have opened up where Happy Labs used to be and there is limited seating in the cafe but you can always sit in the common food court.,0,0,-1,0
There was only one cook and we had went in a group so probably that was overwhelming.,0,0,0,-1
But the place had seating for a lot lot more.,0,0,1,0
So this one is on the manager not the cook.,0,0,0,-1
The decoration is really nice though.,0,0,1,0
Very hipster.,0,0,0,0
There is outdoor and indoor seating available.,0,0,1,0
"Went to the Chatswood one, which has been closed down.",0,0,0,0
Great service and the food was amazing.,1,0,0,1
"I really enjoyed my time, and it’s really unfortunate that the Chatswood place has closed down.",0,0,0,0
Cockroaches everywhere.,0,0,-1,0
Dishes and CUPS aren’t clean.,0,0,-1,0
Food is average cafe food.,1,0,0,0
"One of the WORST cafés in Rhodes, thought I could never go wrong in this area, but I was proven wrong.",0,0,-1,0
"The avocado was the pasty type, which probably is not real avocado!",-1,0,0,0
I give it that the poached egg was good.,1,0,0,0
really disappointed with this place.,0,0,-1,0
Take away Piccolo only from this shop.,0,0,0,0
"I can taste they are light medium roasting, and it taste fine by me.",1,0,0,0
my preference is dark roast .,0,0,0,0
We had the Rhodes roll (broken omelette with maple bacon) and the Truffle mushroom for breakfast.,0,0,0,0
"The Rhodes roll was awesome, big serving with a side of sweet potato fries.",1,0,0,0
The Truffle mushroom was so so in taste only.,1,0,0,0
"They also serve a dark soul latte, essentially a black sesame latte.",0,0,0,0
"Glad more cafes are serving this drink, my favourite",0,0,1,0
Lid and Jar has the best Mocha in Rhodes!,1,0,0,0
They have got the combination of chocolate and coffee just right!,1,0,0,0
"However, $4 for a small one might be a little bit on the expensive side.",0,-1,0,0
I ordered for vegetarian French Toast which was good.,1,0,0,0
"It could have been better, but I really liked the presentation.",1,0,0,0
This cafe has really nice music and the staff is really nice.,0,0,1,1
"They have a decent variety for vegetarians and a good seating area, just a one minute walk from the station it is an expensive grab and go Cafe option!",1,-1,1,0
Some tasteless scrambled egg placed inside an uncrunchy croissant.,-1,0,0,0
"There was some cherry tomatoes, single slice of swiss cheese and smoked salmon.",0,0,0,0
"I do not think its worth the $12, nor did i come back to this cafe.",0,-1,0,0
"From memory, their service was not exactly friendly.",0,0,0,-1
I’m pretty sure I saw the staff pour a can of sprite into the cup to go for their ‘lemonade’.,-1,0,0,0
"Anyway, they are one of the convenient places open relatively late in the area so I guess you don’t have much of a choice if you’re after dessert later in the night.",0,0,1,0
"The honey macadamia cheese cake was fairly decent, and they have a fair few other cheesecake options as well.",1,0,0,0
Staff mentioned the cookies and cream would be a good choice.,1,0,0,0
This is one of the few establishments on the block that is open past 10pm on a Saturday night.,0,0,1,0
And this is despite the Pokemon collecting crowds that have recently descended on Rhodes and are occupying the parks and waterfront.,0,0,0,0
"We had a matcha green tea latte, hot chocolate and cronut.",0,0,0,0
The friendliest of staff in not so busy locale.,0,0,0,1
A great place to watch the world go by  on an overcast and dreary day.,0,0,1,0
Lid and Jar has an edgy steam punk industrial style in its decoration.,0,0,1,0
It is very spacious with its cavernous ceiling very few tables.,0,0,1,0
"The food was great, affordable, and the servings were perfect (for people who find they can never finish their food).",1,1,0,1
"Service was fast, and the friendliness was like that made you feel at home.",0,0,0,1
Coffee was exceptional.,1,0,0,0
Definitely a must try when you are next in Rhodes.,0,0,1,0
I ordered a takeaway iced mocha which tasted very dilute.,-1,0,0,0
"Upon finishing I noticed the cup was half-filled with ice, which is disappointing.",-1,0,0,0
Your average brunch place that serves up good coffee and food.,1,0,0,0
"Food and coffee service was fast, water and cutlery is self serve.",0,0,0,1
I have had better fritters at other cafés but these were still tasty.,1,0,0,0
"Had breakfast this morning with friends, ordered the mushroom dish which came with a black hair on the toast.",-1,0,0,0
The meal was promptly replaced by staff but I did not love he flavors on the plate.,0,0,0,-1
Bit bland and the watercress looked rather sad!,-1,0,0,0
Coffee was ok and the nutella cronut was nice.,1,0,0,0
Sorry but i do not want to see all the unorganised and unorderly cafe stuff and amenities.,0,0,-1,0
Uncomfortable seating arrangements.,0,0,-1,0
Cute cafe.,0,0,1,0
"Staff were friendly, coffee good but not great, food was ok.",1,0,0,1
But salty.,-1,0,0,0
"I wanted to try the French toast, but I ended up getting the eggs Benedict instead with a cup of mocha.",0,0,0,0
The food came not long after my coffee arrived.,0,0,0,0
The meal looked encouraging as the presentation was very nice with its caviar sprinkles and purple flower garnish.,1,0,0,0
It tasted ok.,1,0,0,0
"I will still come back, but I will probably go for the French toast next time",0,0,0,0
Nice place to go for casual cafe food.,0,0,1,0
Most of the food is cooked prior and reheated on a hot plate.,-1,0,0,0
I would much prefer freshly cooked food.,-1,0,0,0
It tastes good.,1,0,0,0
"Always great coffee with fantastic service with a smile, breakfast also really good with a lot of options and always changing probably the best breakfast in Rhodes, definitely worth a try close to the station",1,0,0,1
Lid and Jar is a nice place to go for some good quality brunch and coffee.,1,0,1,0
Staff were very friendly and the interior of this place also looks really modern and clean.,0,0,1,1
"I used to go to the one in Chatswood, but luckily found Lid and Jar in Rhodes as well!!",0,0,1,0
It is just 1 minute from Rhodes station.,0,0,1,0
I had been here many many times!!,0,0,0,0
I ordered Croissant with Salmon and Avo dish so far.,0,0,0,0
Those were tasty and amazing.,1,0,0,0
"The Croissant is very soft and delicious, Veggie, fruit and Salmon were fresh and yummy!",1,0,0,0
Ordered Watermelon salad as well.,0,0,0,0
I have never tried ham and cheese with Watermelon but found those were good match:),1,0,0,0
"Always lovely staff are welcoming, like them and the chilled ambience.",0,0,1,1
"About coffee, I think the barista has been changed several times.",0,0,0,0
I like the coffee 4-5 months ago than now.,-1,0,0,0
It used to be stronger and tasty tbh.,-1,0,0,0
And I liked the cute latte art before they did.,-1,0,0,0
"This place holds a special place in my heart for personal reasons, it is cute like a button and has comfortable booths you can snug in for hours with a beautiful Italian coffee and lovely retro feel.",1,0,1,0
"I love the cakes there, particularly the lemon meringue tart which is storeys high",1,0,0,0
A bit on the pricey side but open till late in charming surroundings.,0,-1,1,0
I just ordered these after a great meal in another place.,0,0,0,0
"These are toblerone cheesecake, tiramisu and a long black.",0,0,0,0
Long black came exactly like that.,0,0,0,0
Imagine the taste.,0,0,0,0
"Just had a sip absolutely, awful.",-1,0,0,0
"Ok they might have a bad quality of coffee what about sweets, toblerone cheesecake has no toblerone at all, on the other hand they used cheap chocolate.",-1,0,0,0
Tiramisu was dry and the worst which I ever in my life.,-1,0,0,0
"The Rocks Cafe is an amazing combination of Amazing Italian food, friendly staff and reasonably priced Comfort food at a great location.",1,1,1,1
"Just do what the street from the Opera House, there is outside seating.",0,0,1,0
"We had the Fish and Chips, King prawn and chorizo risotto, Napolitano Spaghetti and Chicken and Mushrooms with spaghetti.",0,0,0,0
Every dish was delicious and so fresh.,1,0,0,0
We had the cheesecake of the day with a serve of vanilla ice cream and 3 home made lemon and mint iced tea.,0,0,0,0
Highly recommend the tea as it was really refreshing.,1,0,0,0
The vanilla ice cream was rich in texture and was packed with vanilla beans which was visible.,1,0,0,0
The cheesecake was a bit too eggy for my liking.,-1,0,0,0
"The cheesecake itself was nice, creamy and smooth.",1,0,0,0
"Although it is pricy, ~$35 for small portions, it was worth it due to the great customer service, location and ambience.",0,-1,1,1
"Great food, well prepared and served with a friendly smile from our waitress.",1,0,0,1
A welcome change from the overpriced Sydney restaurants providing mediocre food.,-1,-1,0,0
Took more than 30 mins for a simple order to arrive of burger.,0,0,0,-1
Once it arrived the brioche bun was not fresh and the burger dry.,-1,0,0,0
The fries were mediocre.,-1,0,0,0
Service was slow.,0,0,0,-1
Whilst visiting from interstate we dined here on Saturday morning for breakfast before heading to The Rocks market.,0,0,0,0
I enjoyed the ham and cheese croissant and hubby enjoyed avocado on toast.,1,0,0,0
Both meals were tasty and our female server was very friendly and welcoming.,1,0,0,1
We sat outside which was nice.,0,0,1,0
A great little place for breakfast.,0,0,1,0
Went here for lunch after arriving in Sydney.,0,0,0,0
We sat outside but not know the sun.,0,0,1,0
The service was not ok. We needed to clarify our order as it was not written down correctly.,0,0,0,-1
We had the rocks burger and the omelette.,0,0,0,0
I would have liked my pattie to be more cooked as it was quite pink inside.,-1,0,0,0
I felt it was a little overpriced for what it was.,0,-1,0,0
"My female server was an absolute delight, she was extremely open and friendly which made me feel very welcomed.",0,0,0,1
"The cakes are lovely, go for the tiramisu.",1,0,0,0
"LOVE the Homemade lemon and mint ice tea, do recommend that.",1,0,0,0
Very attentive and courteous staff who not only look after you but know their menu and happy to assist in choice.,0,0,0,1
Very enjoyable experience and food top grade.,1,0,1,0
A must visit when in the rocks,0,0,1,0
"Came here for a quick lunch, to grab a couple of burgers and cokes.",0,0,0,0
I asked for my burger with salad instead of chips and they were happy to oblige.,0,0,0,1
Service was alright and the food was okay.,1,0,0,1
Nothing exciting but it was lovely sitting outside in the sun!,0,0,1,0
"Nestled in the heart of the Rocks this place caters for all appetites, from a coffee and cake to a full meal.",0,0,0,0
"We have been on three occasions now and have never been disappointed, the range of desserts is a standout.",1,0,0,0
Staff were friendly.,0,0,0,1
Fruit toast was burnt.,-1,0,0,0
Tried the kangaroo Burger here!,0,0,0,0
"Came with chips as well but for the price, was not too worth it.",0,-1,0,0
At least I got try try kangaroo while in Australia though!,0,0,0,0
However the service is great and is situated near the Harbour area!,0,0,1,1
Service is so slow and bad.,0,0,0,-1
Serving people who is here later and getting their coffees and meals much earlier than you is not simply unacceptable.,0,0,0,-1
"Later we found out they forgot our order but instead of admitting it, they lied and said the kitchen is busy.",0,0,0,-1
Everyone who came after us had already eaten and left and we are still here waiting!,0,0,0,-1
So been here twice.,0,0,0,0
I have noticed that the staff do not listen to what you say.,0,0,0,-1
Lemon meringue pie will come to your table with the top off.,-1,0,0,0
Been there a few times! It is a nice place for an outing.,0,0,1,0
And when I told the manager he changed it right away and got me another drink.,0,0,0,1
Really friendly staff and their food is really good...,1,0,0,1
"I came here following a lead from last year Sydney Aroma Festival booklet that mentioned The Rocks Café use signature, premium coffee beans.",0,0,0,0
They were also finalists in last years event so I had to give them a shot.,0,0,0,0
"I must say the coffee was amazing, it is been a long time since I have had a strong Piccolo Latte that was not over extracted, bitter, lukewarm or using last week stale beans.",1,0,0,0
"I rated this coffee amongst my all time top 10, bear in mind this includes the heavy weights such as the one I had at the Piazza San Marco in Venice.",0,0,0,0
"Anyway, back to The Rocks Café, I also decided to try their delicious Apple Crumble which that was filled with fresh crunchy apples and the exact mix of cinnamon.",1,0,0,0
"My partner also had a skim latte (which is rather difficult to ensure it remains creamy) and a Blueberry Cheesecake, again, well done.",1,0,0,0
Great desserts and coffee!,1,0,0,0
"I came here with a group of around 12 people, we were desperate for some post dinner dessert and despite its small capacity, the staff were incredibly welcoming and accommodating.",0,0,0,1
Enjoyed this place!,0,0,1,0
Great staff and service.,0,0,0,1
"Weather was dicey,  and they said we could sit outside and they would move us in if it rained,  which they did.",0,0,0,1
"Had the kangaroo burger which was tasty,  and my fiance had the all day breakie,  which was great!",1,0,0,0
"The desserts were all on display in a case by the door and looked amazing,  so we had some.",1,0,0,0
Excellent blueberry cheesecake!,1,0,0,0
"Yes,  a bit pricey,  but we expected that.",0,-1,0,0
Love this spot so much!,0,0,1,0
"Great vibes, lovely service!",0,0,1,1
"Food is okay, and perhaps smaller portions than some inner west cafe but all in all, would totally recommend!",1,0,0,0
Suggest you call to book where poss!,0,0,0,0
Thank you waterfront cafe,0,0,0,0
"My family have been frequent visitors to Waterfront for the past three years, always seeming to fall more and more in love with the place with each visit.",0,0,1,0
"The past two meals, however, have not been so great.",-1,0,0,0
the battered fish a chewy and oily mess. ,-1,0,0,0
the squid was inedible as it was so overcooked,-1,0,0,0
prawn cutlets seemed a little off.,-1,0,0,0
A lemon wedge was not even put on my plate!,0,0,0,-1
Not sure if it's pure mid week laziness or if the quality has dropped as the popularity has risen.,-1,0,0,-1
awesome place,0,0,1,0
amazing food,1,0,0,0
friendly environment,0,0,1,0
"beautiful flowers and lovely smell of the candles and reliable cost of food, wanna buy some more candles in my next visit.",0,0,1,0
"loved the nature, sorroundings and enjoyed the live music on sunday. ",0,0,1,0
caring attitude of each and every staff.,0,0,0,1
the cocktails were amazing.,1,0,0,0
Gorgeous water front Italian restaurant.,0,0,1,0
We were lucky to score a table by the sea.,0,0,0,0
"Fortunately we were given blankets because the seating, although undercover, was outside and freezing cold.",0,0,0,1
"There was live music, mostly 80/90 Aus rock, which was fantastic, many people got up to dance by the stage.",0,0,1,0
"We had pizza, prawn linguine and calamari.",0,0,0,0
"As well as a flourless chocolate cake, Tiramisu and crème brûlée.",0,0,0,0
"The food service was speedy, our meals came within 10 minutes.",0,0,0,1
The pizzas were fabulous (which was expected at an Italian restaurant) as was the pasta.,1,0,0,0
"The desserts were amazing, could not get enough of the Tiramisu!",1,0,0,0
